#{"t_start": 1573853678.1118672, "env_id": "CartPole-v0"}
r,l,t
200.0,200,535.182362
200.0,200,538.295092
200.0,200,541.358026
200.0,200,544.454119
200.0,200,547.519637
200.0,200,550.651139
200.0,200,553.740794
200.0,200,556.810346
200.0,200,559.853628
200.0,200,562.965406
200.0,200,566.036414
200.0,200,569.100503
200.0,200,572.213676
200.0,200,575.280961
200.0,200,578.375384
200.0,200,581.51224
200.0,200,584.587857
200.0,200,587.682249
200.0,200,590.723176
200.0,200,593.822406
200.0,200,596.87449
200.0,200,599.93753
200.0,200,603.039248
200.0,200,606.130733
200.0,200,609.17931
200.0,200,612.298107
200.0,200,615.421172
200.0,200,618.538622
200.0,200,621.656518
200.0,200,624.774474
200.0,200,627.927653
200.0,200,631.014409
200.0,200,634.141687
200.0,200,637.238931
200.0,200,640.315436
200.0,200,643.38477
200.0,200,646.48099
200.0,200,649.588665
200.0,200,652.712422
200.0,200,655.838664
200.0,200,658.922952
200.0,200,662.012072
200.0,200,665.129473
200.0,200,668.260975
200.0,200,671.327017
200.0,200,674.394123
200.0,200,677.512248
200.0,200,680.593496
200.0,200,683.710933
200.0,200,686.816114
200.0,200,689.908712
200.0,200,693.036203
200.0,200,696.177339
200.0,200,699.240491
200.0,200,702.33553
200.0,200,705.416413
200.0,200,708.532207
200.0,200,711.635478
200.0,200,714.685489
200.0,200,717.804975
200.0,200,720.958856
200.0,200,724.078709
200.0,200,727.22546
200.0,200,730.359535
200.0,200,733.439682
200.0,200,736.5369
200.0,200,739.670528
200.0,200,742.801312
