#{"t_start": 1573852292.3576896, "env_id": "CartPole-v0"}
r,l,t
15.0,15,7.728061
12.0,12,7.750341
10.0,10,7.769512
17.0,17,7.801915
37.0,37,7.876662
49.0,49,7.985064
57.0,57,8.107308
9.0,9,8.127514
12.0,12,8.154042
18.0,18,8.195651
41.0,41,8.288231
13.0,13,8.318472
12.0,12,8.347217
20.0,20,8.395069
29.0,29,8.455904
33.0,33,8.527506
20.0,20,8.572232
10.0,10,8.593983
10.0,10,8.615191
19.0,19,8.65525
38.0,38,8.739312
18.0,18,8.778339
55.0,55,8.899299
13.0,13,8.926551
21.0,21,8.97315
28.0,28,9.031516
15.0,15,9.061149
14.0,14,9.090986
26.0,26,9.146444
15.0,15,9.178385
20.0,20,9.221626
21.0,21,9.265808
14.0,14,9.294392
13.0,13,9.32009
18.0,18,9.357538
24.0,24,9.406944
38.0,38,9.493251
17.0,17,9.529142
11.0,11,9.553212
11.0,11,9.577427
14.0,14,9.606452
10.0,10,9.627217
22.0,22,9.675088
12.0,12,9.701024
18.0,18,9.738582
14.0,14,9.768601
19.0,19,9.809839
21.0,21,10.026139
27.0,27,10.266772
12.0,12,10.374582
19.0,19,10.543273
16.0,16,10.69583
13.0,13,10.809146
19.0,19,10.986343
36.0,36,11.312438
14.0,14,11.434766
12.0,12,11.544162
23.0,23,11.749204
42.0,42,12.130542
12.0,12,12.235645
15.0,15,12.375711
23.0,23,12.585351
13.0,13,12.703923
12.0,12,12.804153
21.0,21,12.995133
11.0,11,13.100492
16.0,16,13.253487
28.0,28,13.503155
18.0,18,13.668204
12.0,12,13.77686
10.0,10,13.856934
13.0,13,13.973321
14.0,14,14.092267
10.0,10,14.177641
17.0,17,14.32497
11.0,11,14.423962
10.0,10,14.510505
15.0,15,14.648842
16.0,16,14.79162
25.0,25,15.023154
29.0,29,15.29298
8.0,8,15.367575
33.0,33,15.681206
11.0,11,15.780948
10.0,10,15.872658
12.0,12,15.979981
29.0,29,16.233582
8.0,8,16.303449
16.0,16,16.446028
15.0,15,16.583337
30.0,30,16.855485
13.0,13,16.967985
14.0,14,17.100346
11.0,11,17.200965
13.0,13,17.322479
39.0,39,17.677303
11.0,11,17.783299
14.0,14,17.909799
24.0,24,18.13166
22.0,22,18.317648
15.0,15,18.446623
14.0,14,18.585549
12.0,12,18.694135
20.0,20,18.878985
18.0,18,19.04672
17.0,17,19.201804
21.0,21,19.394885
15.0,15,19.533773
33.0,33,19.825395
15.0,15,19.965886
45.0,45,20.38609
46.0,46,20.809583
17.0,17,20.974129
36.0,36,21.304326
15.0,15,21.438744
14.0,14,21.569074
14.0,14,21.697893
29.0,29,21.962678
28.0,28,22.223685
23.0,23,22.438749
11.0,11,22.528066
44.0,44,22.928146
11.0,11,23.02147
14.0,14,23.147321
40.0,40,23.514075
148.0,148,24.902669
98.0,98,25.782624
38.0,38,26.120822
46.0,46,26.553548
35.0,35,26.870941
41.0,41,27.250251
78.0,78,27.973611
57.0,57,28.495487
64.0,64,29.055422
12.0,12,29.179883
151.0,151,30.577901
71.0,71,31.234782
123.0,123,32.347715
200.0,200,34.191683
200.0,200,36.018415
200.0,200,37.909882
200.0,200,39.731183
100.0,100,40.651145
200.0,200,42.475764
200.0,200,44.286813
200.0,200,46.135887
200.0,200,47.934646
199.0,199,49.75093
171.0,171,51.319389
147.0,147,52.638696
164.0,164,54.084728
162.0,162,55.581324
190.0,190,57.277166
154.0,154,58.663929
158.0,158,60.111646
137.0,137,61.35688
163.0,163,62.835406
128.0,128,63.980007
148.0,148,65.329571
177.0,177,66.94014
153.0,153,68.353244
150.0,150,69.724426
174.0,174,71.312724
164.0,164,72.829008
167.0,167,74.345248
199.0,199,76.173528
142.0,142,77.494692
178.0,178,79.142834
154.0,154,80.556354
200.0,200,82.371667
180.0,180,84.037231
141.0,141,85.31975
119.0,119,86.399536
130.0,130,87.552289
139.0,139,88.812121
111.0,111,89.83552
115.0,115,90.896743
116.0,116,91.97021
105.0,105,92.932589
107.0,107,93.904705
118.0,118,94.98659
108.0,108,95.942215
104.0,104,96.905171
122.0,122,98.003392
111.0,111,99.008969
109.0,109,100.005461
111.0,111,101.031333
106.0,106,101.984596
106.0,106,102.938083
108.0,108,103.91215
113.0,113,104.961659
105.0,105,105.915824
110.0,110,106.922965
121.0,121,108.022782
115.0,115,109.068837
102.0,102,110.000844
110.0,110,110.973724
117.0,117,112.013969
112.0,112,113.035128
107.0,107,113.997587
113.0,113,114.997581
127.0,127,116.148732
117.0,117,117.214738
125.0,125,118.361409
