#{"t_start": 1573850470.3431365, "env_id": "CartPole-v0"}
r,l,t
17.0,17,8.473885
22.0,22,8.51179
48.0,48,8.59795
25.0,25,8.638018
21.0,21,8.675285
13.0,13,8.696654
21.0,21,8.734639
38.0,38,8.812202
11.0,11,8.835272
11.0,11,8.85953
13.0,13,8.8877
15.0,15,8.921297
18.0,18,8.956496
13.0,13,8.983759
16.0,16,9.016275
16.0,16,9.049977
23.0,23,9.098365
14.0,14,9.128737
26.0,26,9.182772
38.0,38,9.263304
25.0,25,9.314219
9.0,9,9.332852
16.0,16,9.365918
16.0,16,9.397758
16.0,16,9.431684
20.0,20,9.478245
13.0,13,9.50263
19.0,19,9.537361
13.0,13,9.567459
33.0,33,9.626663
14.0,14,9.65504
9.0,9,9.672381
12.0,12,9.69658
9.0,9,9.715137
21.0,21,9.760015
24.0,24,9.811936
16.0,16,9.841928
10.0,10,9.861804
30.0,30,9.923175
13.0,13,9.949823
16.0,16,9.989525
10.0,10,10.009687
24.0,24,10.061989
13.0,13,10.089156
14.0,14,10.11799
13.0,13,10.145699
14.0,14,10.175769
20.0,20,10.217952
11.0,11,10.241052
16.0,16,10.274667
12.0,12,10.300416
16.0,16,10.334043
10.0,10,10.355526
15.0,15,10.38779
10.0,10,10.409435
18.0,18,10.448231
13.0,13,10.475762
13.0,13,10.752435
11.0,11,10.855552
42.0,42,11.231356
13.0,13,11.347178
12.0,12,11.457146
33.0,33,11.754226
36.0,36,12.069662
26.0,26,12.290637
53.0,53,12.76245
19.0,19,12.93036
26.0,26,13.161678
15.0,15,13.294531
19.0,19,13.467231
9.0,9,13.544733
16.0,16,13.690297
46.0,46,14.095401
32.0,32,14.36761
74.0,74,15.019722
29.0,29,15.271824
31.0,31,15.555845
20.0,20,15.741821
61.0,61,16.277493
12.0,12,16.391876
41.0,41,16.761906
40.0,40,17.115168
46.0,46,17.526934
58.0,58,18.03801
76.0,76,18.677269
45.0,45,19.097025
42.0,42,19.466136
53.0,53,19.922457
21.0,21,20.100511
40.0,40,20.461354
25.0,25,20.689294
49.0,49,21.110842
47.0,47,21.523326
37.0,37,21.844199
21.0,21,22.024454
79.0,79,22.704885
34.0,34,23.004074
71.0,71,23.637079
25.0,25,23.859405
52.0,52,24.314347
18.0,18,24.485315
70.0,70,25.093909
123.0,123,26.187724
16.0,16,26.333047
41.0,41,26.689806
58.0,58,27.217691
90.0,90,28.015709
51.0,51,28.463702
132.0,132,29.613425
80.0,80,30.316164
200.0,200,32.119153
88.0,88,32.913692
152.0,152,34.258559
143.0,143,35.520291
200.0,200,37.289235
135.0,135,38.493528
169.0,169,39.992827
125.0,125,41.083143
174.0,174,42.626919
200.0,200,44.417498
200.0,200,46.213609
170.0,170,47.708802
200.0,200,49.496832
161.0,161,50.896434
188.0,188,52.549134
200.0,200,54.285248
200.0,200,56.080347
200.0,200,57.830311
176.0,176,59.373434
