#{"t_start": 1573852759.530647, "env_id": "CartPole-v0"}
r,l,t
10.0,10,2.461964
25.0,25,2.535882
21.0,21,2.609752
17.0,17,2.67299
33.0,33,2.790422
19.0,19,2.844157
31.0,31,2.959919
11.0,11,2.99812
41.0,41,3.140895
25.0,25,3.218298
44.0,44,3.373583
22.0,22,3.445834
28.0,28,3.540979
23.0,23,3.620825
16.0,16,3.679259
23.0,23,3.756788
24.0,24,3.837045
40.0,40,3.978112
26.0,26,4.063691
14.0,14,4.111514
13.0,13,4.161995
12.0,12,4.198294
13.0,13,4.249357
27.0,27,4.342049
36.0,36,4.46354
57.0,57,4.665516
15.0,15,4.715556
22.0,22,4.791803
19.0,19,4.860806
26.0,26,4.949071
33.0,33,5.069659
18.0,18,5.12394
20.0,20,5.191336
35.0,35,5.315149
9.0,9,5.347878
26.0,26,5.438788
13.0,13,5.485245
15.0,15,5.535039
22.0,22,5.61339
12.0,12,5.652906
17.0,17,5.712845
25.0,25,5.798599
20.0,20,5.872038
15.0,15,5.920637
45.0,45,6.08347
22.0,22,6.160315
21.0,21,6.236619
16.0,16,6.291113
24.0,24,6.372049
10.0,10,6.405197
29.0,29,6.503621
41.0,41,6.649541
19.0,19,6.705262
16.0,16,6.765581
12.0,12,6.799374
31.0,31,6.902183
11.0,11,6.937785
54.0,54,7.131396
43.0,43,7.277785
30.0,30,7.37607
15.0,15,7.423799
16.0,16,7.478313
16.0,16,7.529767
27.0,27,7.625468
14.0,14,7.666579
14.0,14,7.711258
19.0,19,7.774286
76.0,76,8.023063
16.0,16,8.075162
17.0,17,8.134611
12.0,12,8.173167
30.0,30,8.280113
36.0,36,8.40389
10.0,10,8.438071
27.0,27,8.53014
14.0,14,8.578028
31.0,31,8.67825
19.0,19,8.741351
36.0,36,8.865928
22.0,22,8.934755
20.0,20,9.003973
35.0,35,9.12036
49.0,49,9.294507
15.0,15,9.349771
22.0,22,9.4202
11.0,11,9.462887
10.0,10,9.499912
9.0,9,9.523332
13.0,13,9.570017
11.0,11,9.605153
38.0,38,9.740676
12.0,12,9.78267
12.0,12,9.822347
13.0,13,9.861332
33.0,33,9.976992
17.0,17,10.027751
19.0,19,10.09261
17.0,17,10.145766
26.0,26,10.230595
15.0,15,10.28317
42.0,42,10.422867
35.0,35,10.534561
21.0,21,10.60704
18.0,18,10.681241
34.0,34,10.802625
15.0,15,10.851649
33.0,33,10.957148
64.0,64,11.179445
13.0,13,11.224729
14.0,14,11.264807
11.0,11,11.305851
29.0,29,11.39926
29.0,29,11.500191
27.0,27,11.600901
25.0,25,11.684435
18.0,18,11.739496
25.0,25,11.824992
18.0,18,11.893811
51.0,51,12.069839
14.0,14,12.11916
15.0,15,12.170231
25.0,25,12.251625
77.0,77,12.504791
19.0,19,12.576656
22.0,22,12.648098
24.0,24,12.728996
13.0,13,12.776078
14.0,14,12.820934
76.0,76,13.083017
18.0,18,13.145779
18.0,18,13.208457
31.0,31,13.312465
19.0,19,13.378321
12.0,12,13.415484
24.0,24,13.505781
21.0,21,13.585283
34.0,34,13.706827
38.0,38,13.844038
12.0,12,13.883196
16.0,16,13.938254
18.0,18,14.000587
21.0,21,14.068701
55.0,55,14.265305
28.0,28,14.364426
18.0,18,14.420333
18.0,18,14.481708
31.0,31,14.588492
17.0,17,14.652339
41.0,41,14.788609
12.0,12,14.828802
24.0,24,14.918877
22.0,22,14.995283
20.0,20,15.064253
13.0,13,15.110279
40.0,40,15.251024
24.0,24,15.331975
12.0,12,15.372781
26.0,26,15.463553
50.0,50,15.644518
27.0,27,15.744477
29.0,29,15.846846
13.0,13,15.884609
76.0,76,16.159586
13.0,13,16.2032
12.0,12,16.244399
26.0,26,16.34097
41.0,41,16.486385
19.0,19,16.549102
43.0,43,16.699555
14.0,14,16.74427
29.0,29,16.837072
16.0,16,16.892698
10.0,10,16.931584
24.0,24,17.01607
33.0,33,17.128177
32.0,32,17.242776
55.0,55,17.431241
16.0,16,17.482197
50.0,50,17.654112
17.0,17,17.708593
40.0,40,17.84141
12.0,12,17.88598
13.0,13,17.928742
42.0,42,18.076256
46.0,46,18.229212
15.0,15,18.282764
80.0,80,18.557509
24.0,24,18.648062
40.0,40,18.79073
30.0,30,18.894129
46.0,46,19.039199
96.0,96,19.365055
26.0,26,19.451459
14.0,14,19.503108
20.0,20,19.578702
10.0,10,19.612415
19.0,19,19.680762
56.0,56,19.872451
14.0,14,19.920512
27.0,27,20.005638
38.0,38,20.135537
20.0,20,20.204678
44.0,44,20.348998
