#{"t_start": 1573853127.126076, "env_id": "CartPole-v0"}
r,l,t
46.0,46,30.731554
48.0,48,30.900759
54.0,54,31.083979
48.0,48,31.243097
30.0,30,31.347713
23.0,23,31.432674
65.0,65,31.657614
27.0,27,31.7539
22.0,22,31.825871
23.0,23,31.907533
38.0,38,32.04459
69.0,69,32.281635
103.0,103,32.632659
54.0,54,32.811163
59.0,59,33.021202
113.0,113,33.40854
73.0,73,33.666044
44.0,44,33.81321
28.0,28,33.911064
67.0,67,34.147859
60.0,60,34.350875
61.0,61,34.569807
82.0,82,34.842229
100.0,100,35.191131
79.0,79,35.464512
31.0,31,35.576137
35.0,35,35.692053
54.0,54,35.879217
71.0,71,36.127423
45.0,45,36.278797
31.0,31,36.37985
37.0,37,36.522566
17.0,17,36.575577
18.0,18,36.635405
45.0,45,36.791174
73.0,73,37.040801
54.0,54,37.229051
28.0,28,37.325007
44.0,44,37.467843
35.0,35,37.592269
60.0,60,37.799273
84.0,84,38.082673
26.0,26,38.174761
19.0,19,38.234921
62.0,62,38.457223
39.0,39,38.595497
29.0,29,38.687726
76.0,76,38.95224
29.0,29,39.040445
71.0,71,39.301979
78.0,78,39.55765
19.0,19,39.622386
69.0,69,39.869847
52.0,52,40.049668
30.0,30,40.145776
46.0,46,40.300743
42.0,42,40.450995
61.0,61,40.654118
96.0,96,40.973592
108.0,108,41.344205
48.0,48,41.49691
37.0,37,41.623085
60.0,60,41.829086
126.0,126,42.25091
81.0,81,42.529393
18.0,18,42.594081
66.0,66,42.823252
82.0,82,43.094368
61.0,61,43.30107
27.0,27,43.393052
66.0,66,43.614877
97.0,97,43.937647
68.0,68,44.165206
62.0,62,44.385304
50.0,50,44.567611
58.0,58,44.772096
17.0,17,44.833251
109.0,109,45.190474
184.0,184,45.826645
94.0,94,46.150752
114.0,114,46.546814
17.0,17,46.603187
122.0,122,47.027132
86.0,86,47.335464
53.0,53,47.511153
76.0,76,47.772579
14.0,14,47.809406
127.0,127,48.242451
70.0,70,48.491839
40.0,40,48.627456
56.0,56,48.819086
108.0,108,49.190893
119.0,119,49.57836
64.0,64,49.795732
64.0,64,50.016037
65.0,65,50.249992
141.0,141,50.725334
99.0,99,51.067932
200.0,200,51.749424
41.0,41,51.881214
70.0,70,52.131245
183.0,183,52.741055
151.0,151,53.267386
200.0,200,53.959018
71.0,71,54.193077
69.0,69,54.428886
112.0,112,54.793515
155.0,155,55.346529
200.0,200,56.054115
105.0,105,56.411204
109.0,109,56.78232
131.0,131,57.236474
136.0,136,57.696597
141.0,141,58.189735
187.0,187,58.826138
35.0,35,58.943346
200.0,200,59.634195
165.0,165,60.200126
146.0,146,60.696658
139.0,139,61.180851
172.0,172,61.783149
20.0,20,61.849118
33.0,33,61.954023
160.0,160,62.517645
20.0,20,62.582515
200.0,200,63.255234
129.0,129,63.708893
147.0,147,64.23551
180.0,180,64.842173
57.0,57,65.035532
152.0,152,65.552167
200.0,200,66.220514
200.0,200,66.894859
38.0,38,67.026231
21.0,21,67.097142
39.0,39,67.231014
132.0,132,67.700221
60.0,60,67.893197
161.0,161,68.446711
108.0,108,68.825344
84.0,84,69.115213
99.0,99,69.462412
44.0,44,69.602642
123.0,123,70.027678
43.0,43,70.18175
69.0,69,70.411706
108.0,108,70.765178
69.0,69,70.995939
144.0,144,71.494787
52.0,52,71.66467
73.0,73,71.906323
47.0,47,72.061305
54.0,54,72.254272
41.0,41,72.390214
147.0,147,72.887542
84.0,84,73.175144
200.0,200,73.851823
24.0,24,73.938726
21.0,21,74.012743
16.0,16,74.073502
200.0,200,74.77592
60.0,60,74.979623
72.0,72,75.233855
94.0,94,75.56653
49.0,49,75.726368
96.0,96,76.062464
146.0,146,76.554421
86.0,86,76.847123
84.0,84,77.129083
37.0,37,77.250316
20.0,20,77.314488
33.0,33,77.437488
91.0,91,77.749527
19.0,19,77.812412
14.0,14,77.863029
28.0,28,77.953018
15.0,15,78.004068
62.0,62,78.227525
79.0,79,78.490566
34.0,34,78.600157
28.0,28,78.698909
140.0,140,79.169485
103.0,103,79.524101
34.0,34,79.648632
28.0,28,79.748379
25.0,25,79.830497
37.0,37,79.951165
64.0,64,80.173225
47.0,47,80.327407
166.0,166,80.899899
74.0,74,81.164879
84.0,84,81.458985
52.0,52,81.635681
80.0,80,81.911461
24.0,24,81.994193
81.0,81,82.266635
64.0,64,82.479253
63.0,63,82.701935
76.0,76,82.963712
131.0,131,83.399053
24.0,24,83.483816
198.0,198,84.167022
29.0,29,84.259563
136.0,136,84.730046
28.0,28,84.821245
61.0,61,85.03352
57.0,57,85.231485
27.0,27,85.323165
112.0,112,85.711442
89.0,89,86.016741
22.0,22,86.08361
65.0,65,86.305205
10.0,10,86.339025
36.0,36,86.457186
108.0,108,86.82936
49.0,49,87.000758
62.0,62,87.210277
41.0,41,87.347961
36.0,36,87.467979
82.0,82,87.756876
77.0,77,88.012846
18.0,18,88.079919
149.0,149,88.597768
113.0,113,88.982947
15.0,15,89.034587
76.0,76,89.295839
116.0,116,89.689631
81.0,81,89.976573
46.0,46,90.123655
17.0,17,90.172465
19.0,19,90.237525
71.0,71,90.480596
93.0,93,90.815229
35.0,35,90.94162
97.0,97,91.269499
16.0,16,91.334443
62.0,62,91.544181
27.0,27,91.634088
45.0,45,91.798092
26.0,26,91.893414
43.0,43,92.033668
52.0,52,92.228904
30.0,30,92.325651
69.0,69,92.556556
36.0,36,92.680616
53.0,53,92.862978
156.0,156,93.397885
26.0,26,93.493666
28.0,28,93.583527
67.0,67,93.811759
106.0,106,94.174858
76.0,76,94.435854
48.0,48,94.604239
101.0,101,94.956677
68.0,68,95.175576
93.0,93,95.490212
96.0,96,95.818253
128.0,128,96.260215
42.0,42,96.410049
105.0,105,96.766974
129.0,129,97.202363
111.0,111,97.571672
55.0,55,97.756919
80.0,80,98.036514
22.0,22,98.121384
37.0,37,98.244159
93.0,93,98.547805
80.0,80,98.816541
17.0,17,98.868845
45.0,45,99.019815
88.0,88,99.315806
53.0,53,99.490283
23.0,23,99.570255
41.0,41,99.714211
24.0,24,99.793932
45.0,45,99.949169
107.0,107,100.313508
21.0,21,100.382219
10.0,10,100.417322
123.0,123,100.829812
51.0,51,101.00296
19.0,19,101.070369
112.0,112,101.442344
34.0,34,101.562362
47.0,47,101.720604
11.0,11,101.756948
22.0,22,101.832571
39.0,39,101.961561
125.0,125,102.382495
21.0,21,102.453614
49.0,49,102.62774
135.0,135,103.08639
27.0,27,103.180295
26.0,26,103.275516
54.0,54,103.448711
101.0,101,103.804807
33.0,33,103.920376
96.0,96,104.254818
57.0,57,104.453948
88.0,88,104.742863
78.0,78,105.009053
106.0,106,105.373349
116.0,116,105.762322
53.0,53,105.945969
111.0,111,106.32221
32.0,32,106.441442
146.0,146,106.927855
120.0,120,107.341214
168.0,168,107.898869
39.0,39,108.035043
154.0,154,108.549885
105.0,105,108.909386
103.0,103,109.269552
88.0,88,109.568772
24.0,24,109.64733
34.0,34,109.767243
32.0,32,109.869823
106.0,106,110.245637
28.0,28,110.345975
26.0,26,110.43571
117.0,117,110.838164
103.0,103,111.192571
85.0,85,111.486656
33.0,33,111.597426
126.0,126,112.025615
123.0,123,112.453784
56.0,56,112.647755
79.0,79,112.920076
93.0,93,113.222225
95.0,95,113.559685
39.0,39,113.697366
48.0,48,113.862065
75.0,75,114.118751
18.0,18,114.171374
108.0,108,114.553803
103.0,103,114.898776
175.0,175,115.490998
33.0,33,115.600528
117.0,117,116.006323
107.0,107,116.378199
18.0,18,116.432658
149.0,149,116.930018
31.0,31,117.034123
126.0,126,117.468748
200.0,200,118.15373
123.0,123,118.573276
131.0,131,119.016709
91.0,91,119.328239
66.0,66,119.547774
159.0,159,120.092393
106.0,106,120.460015
136.0,136,120.913309
131.0,131,121.354801
175.0,175,121.958524
126.0,126,122.38973
82.0,82,122.668717
21.0,21,122.741384
109.0,109,123.120161
82.0,82,123.399198
175.0,175,124.01907
83.0,83,124.301972
24.0,24,124.391939
40.0,40,124.524056
100.0,100,124.863051
38.0,38,124.995629
108.0,108,125.370449
35.0,35,125.494955
67.0,67,125.719478
200.0,200,126.40544
94.0,94,126.737827
30.0,30,126.833624
130.0,130,127.270995
49.0,49,127.442226
116.0,116,127.840884
200.0,200,128.532328
76.0,76,128.790175
71.0,71,129.034426
120.0,120,129.447074
106.0,106,129.822636
26.0,26,129.912191
98.0,98,130.247741
113.0,113,130.634881
53.0,53,130.816867
93.0,93,131.137707
65.0,65,131.353985
42.0,42,131.496344
47.0,47,131.653785
65.0,65,131.867713
109.0,109,132.250783
46.0,46,132.408082
61.0,61,132.609744
47.0,47,132.777758
56.0,56,132.969935
74.0,74,133.22145
97.0,97,133.547729
44.0,44,133.702129
83.0,83,133.985656
85.0,85,134.276018
200.0,200,134.954071
104.0,104,135.314003
67.0,67,135.550346
30.0,30,135.652982
92.0,92,135.961204
23.0,23,136.05111
66.0,66,136.281332
21.0,21,136.354229
25.0,25,136.438609
50.0,50,136.60883
94.0,94,136.92727
99.0,99,137.27076
89.0,89,137.568393
139.0,139,138.050294
42.0,42,138.194503
43.0,43,138.339171
113.0,113,138.721885
50.0,50,138.894907
86.0,86,139.201061
63.0,63,139.421663
16.0,16,139.476297
30.0,30,139.581026
122.0,122,139.995846
132.0,132,140.452201
191.0,191,141.111975
42.0,42,141.248787
30.0,30,141.357684
58.0,58,141.566861
61.0,61,141.767451
36.0,36,141.891464
21.0,21,141.958426
118.0,118,142.37412
176.0,176,142.990816
65.0,65,143.213398
98.0,98,143.561139
100.0,100,143.903619
95.0,95,144.237134
121.0,121,144.65319
85.0,85,144.94869
37.0,37,145.076981
76.0,76,145.351968
68.0,68,145.577584
33.0,33,145.696203
92.0,92,145.992983
43.0,43,146.146122
32.0,32,146.253694
31.0,31,146.358367
66.0,66,146.588221
44.0,44,146.730629
49.0,49,146.901814
58.0,58,147.10559
15.0,15,147.152803
36.0,36,147.273561
47.0,47,147.425388
26.0,26,147.518955
29.0,29,147.609971
50.0,50,147.787519
16.0,16,147.845109
126.0,126,148.269113
66.0,66,148.497953
13.0,13,148.544602
58.0,58,148.740134
109.0,109,149.118382
81.0,81,149.394548
77.0,77,149.668048
15.0,15,149.720488
32.0,32,149.833441
26.0,26,149.918819
35.0,35,150.040037
34.0,34,150.158264
38.0,38,150.296804
39.0,39,150.429012
127.0,127,150.864823
36.0,36,150.995817
28.0,28,151.098675
104.0,104,151.436425
52.0,52,151.617465
53.0,53,151.803549
24.0,24,151.890348
168.0,168,152.459846
102.0,102,152.800854
41.0,41,152.944758
188.0,188,153.576414
22.0,22,153.651588
46.0,46,153.809789
124.0,124,154.207804
84.0,84,154.485213
25.0,25,154.575764
68.0,68,154.806152
42.0,42,154.948314
37.0,37,155.075522
119.0,119,155.473686
27.0,27,155.574261
31.0,31,155.685867
16.0,16,155.741443
53.0,53,155.921679
56.0,56,156.113483
58.0,58,156.312308
144.0,144,156.818307
28.0,28,156.921938
80.0,80,157.199569
