#{"t_start": 1573850924.6490912, "env_id": "CartPole-v0"}
r,l,t
23.0,23,7.847214
25.0,25,7.906177
19.0,19,7.95585
25.0,25,8.005291
15.0,15,8.036911
16.0,16,8.070076
17.0,17,8.110687
34.0,34,8.188269
12.0,12,8.216615
19.0,19,8.255283
21.0,21,8.297497
19.0,19,8.335677
20.0,20,8.377098
11.0,11,8.399951
13.0,13,8.431976
45.0,45,8.531899
15.0,15,8.56302
14.0,14,8.592917
16.0,16,8.628592
25.0,25,8.683605
9.0,9,8.703297
9.0,9,8.72368
35.0,35,8.795907
45.0,45,8.896101
35.0,35,8.970963
47.0,47,9.07214
20.0,20,9.116494
19.0,19,9.161645
21.0,21,9.206266
36.0,36,9.288076
51.0,51,9.400869
21.0,21,9.446001
11.0,11,9.469085
11.0,11,9.492749
14.0,14,9.519938
16.0,16,9.552436
20.0,20,9.595168
18.0,18,9.632231
14.0,14,9.66135
26.0,26,9.71469
23.0,23,9.762342
70.0,70,9.909875
47.0,47,10.313527
21.0,21,10.497909
17.0,17,10.654
14.0,14,10.779621
31.0,31,11.053145
22.0,22,11.242505
14.0,14,11.371074
15.0,15,11.5033
16.0,16,11.638783
16.0,16,11.780798
14.0,14,11.908329
22.0,22,12.097255
111.0,111,13.062009
15.0,15,13.193117
46.0,46,13.614953
16.0,16,13.750259
16.0,16,13.906673
16.0,16,14.048784
16.0,16,14.193968
44.0,44,14.593594
22.0,22,14.792749
32.0,32,15.077917
11.0,11,15.17798
47.0,47,15.60585
54.0,54,16.101308
15.0,15,16.231596
11.0,11,16.329025
8.0,8,16.403695
10.0,10,16.496512
36.0,36,16.827621
12.0,12,16.924878
15.0,15,17.065335
10.0,10,17.15491
52.0,52,17.630909
11.0,11,17.726282
16.0,16,17.873132
30.0,30,18.13803
49.0,49,18.577364
23.0,23,18.775103
48.0,48,19.180341
33.0,33,19.478615
13.0,13,19.589694
43.0,43,19.978814
65.0,65,20.554331
32.0,32,20.83126
79.0,79,21.53304
48.0,48,21.969454
23.0,23,22.182879
12.0,12,22.290104
14.0,14,22.421582
24.0,24,22.633621
14.0,14,22.759451
49.0,49,23.213131
23.0,23,23.409156
42.0,42,23.779665
76.0,76,24.452891
54.0,54,24.917165
10.0,10,25.011756
10.0,10,25.103609
37.0,37,25.451787
100.0,100,26.337509
66.0,66,26.918452
20.0,20,27.099915
94.0,94,27.949751
128.0,128,29.105707
166.0,166,30.574235
117.0,117,31.646912
85.0,85,32.42222
200.0,200,34.189244
92.0,92,35.005927
123.0,123,36.097936
180.0,180,37.715454
153.0,153,39.088525
131.0,131,40.234162
138.0,138,41.42638
148.0,148,42.738869
133.0,133,43.923791
121.0,121,45.000705
200.0,200,46.772747
136.0,136,47.98658
114.0,114,49.013582
118.0,118,50.066978
132.0,132,51.276322
106.0,106,52.20032
92.0,92,53.024812
153.0,153,54.415255
136.0,136,55.61706
135.0,135,56.811754
140.0,140,58.059948
131.0,131,59.26927
137.0,137,60.492563
200.0,200,62.306241
131.0,131,63.481462
151.0,151,64.829384
156.0,156,66.219467
173.0,173,67.746081
127.0,127,68.905783
110.0,110,69.892357
121.0,121,70.967633
122.0,122,72.037956
133.0,133,73.247389
132.0,132,74.441446
142.0,142,75.700129
126.0,126,76.814163
123.0,123,77.941916
179.0,179,79.520709
117.0,117,80.561329
200.0,200,82.355211
167.0,167,83.872107
197.0,197,85.637244
122.0,122,86.707052
130.0,130,87.852089
153.0,153,89.190908
158.0,158,90.603986
165.0,165,92.042616
115.0,115,93.04431
129.0,129,94.194185
113.0,113,95.207444
113.0,113,96.204939
114.0,114,97.218828
115.0,115,98.236123
104.0,104,99.149018
100.0,100,100.033916
103.0,103,100.936283
98.0,98,101.803983
112.0,112,102.79077
103.0,103,103.70153
101.0,101,104.611252
16.0,16,104.761123
21.0,21,104.951652
91.0,91,105.764926
103.0,103,106.678511
90.0,90,107.490017
97.0,97,108.393122
103.0,103,109.307166
16.0,16,109.456307
16.0,16,109.596322
90.0,90,110.398207
104.0,104,111.323544
108.0,108,112.289188
105.0,105,113.209836
105.0,105,114.163268
109.0,109,115.117339
104.0,104,116.058491
109.0,109,117.038478
104.0,104,117.965332
96.0,96,118.837638
96.0,96,119.7011
103.0,103,120.601245
95.0,95,121.427113
100.0,100,122.297469
108.0,108,123.25861
112.0,112,124.247504
103.0,103,125.160922
106.0,106,126.10374
112.0,112,127.111051
112.0,112,128.096575
117.0,117,129.129734
101.0,101,130.022006
104.0,104,130.966512
124.0,124,132.072024
115.0,115,133.097427
105.0,105,134.037358
119.0,119,135.116365
107.0,107,136.059451
96.0,96,136.918969
109.0,109,137.878841
108.0,108,138.833349
106.0,106,139.781868
110.0,110,140.740276
100.0,100,141.634908
113.0,113,142.646928
108.0,108,143.602669
110.0,110,144.569801
127.0,127,145.714574
126.0,126,146.846829
117.0,117,147.907701
116.0,116,148.950626
132.0,132,150.116144
