#{"t_start": 1573852943.4420896, "env_id": "CartPole-v0"}
r,l,t
23.0,23,2.271831
13.0,13,2.311738
18.0,18,2.364424
22.0,22,2.441188
10.0,10,2.473644
36.0,36,2.595561
32.0,32,2.705002
38.0,38,2.846851
12.0,12,2.888819
10.0,10,2.923111
19.0,19,2.991693
27.0,27,3.081661
10.0,10,3.114504
25.0,25,3.200452
14.0,14,3.248514
15.0,15,3.292788
23.0,23,3.368272
15.0,15,3.420801
10.0,10,3.452471
21.0,21,3.526451
36.0,36,3.636699
11.0,11,3.673973
41.0,41,3.815022
11.0,11,3.849589
30.0,30,3.952672
43.0,43,4.091775
29.0,29,4.192675
18.0,18,4.254588
22.0,22,4.330311
23.0,23,4.407899
10.0,10,4.442462
25.0,25,4.53032
13.0,13,4.565374
46.0,46,4.734104
44.0,44,4.87927
26.0,26,4.974265
15.0,15,5.026261
25.0,25,5.106849
25.0,25,5.195097
15.0,15,5.250823
13.0,13,5.291497
29.0,29,5.392689
10.0,10,5.430464
16.0,16,5.487619
12.0,12,5.531756
58.0,58,5.717103
29.0,29,5.81788
16.0,16,5.870095
43.0,43,6.022931
20.0,20,6.092882
25.0,25,6.180718
11.0,11,6.216385
26.0,26,6.308814
12.0,12,6.352278
15.0,15,6.401734
20.0,20,6.472072
11.0,11,6.504564
41.0,41,6.643159
18.0,18,6.708855
50.0,50,6.881819
9.0,9,6.907252
19.0,19,6.979177
44.0,44,7.128613
27.0,27,7.224237
17.0,17,7.288563
37.0,37,7.411884
21.0,21,7.479985
10.0,10,7.511796
26.0,26,7.601342
21.0,21,7.667998
17.0,17,7.721235
15.0,15,7.771382
20.0,20,7.83894
22.0,22,7.917531
20.0,20,7.982413
23.0,23,8.060365
12.0,12,8.109136
33.0,33,8.216733
13.0,13,8.261164
28.0,28,8.343895
18.0,18,8.413058
41.0,41,8.558015
37.0,37,8.69376
30.0,30,8.799946
21.0,21,8.868072
13.0,13,8.90962
17.0,17,8.975707
19.0,19,9.044842
16.0,16,9.097757
15.0,15,9.146122
9.0,9,9.174365
22.0,22,9.247236
13.0,13,9.293921
30.0,30,9.404224
23.0,23,9.481588
13.0,13,9.529902
26.0,26,9.624802
23.0,23,9.701571
25.0,25,9.788291
28.0,28,9.876343
21.0,21,9.946583
34.0,34,10.068326
27.0,27,10.16753
25.0,25,10.241966
22.0,22,10.309604
17.0,17,10.363419
13.0,13,10.4098
16.0,16,10.459898
15.0,15,10.510407
20.0,20,10.580281
15.0,15,10.63092
28.0,28,10.729467
13.0,13,10.771597
19.0,19,10.835562
21.0,21,10.905131
17.0,17,10.971504
24.0,24,11.058969
38.0,38,11.188212
27.0,27,11.291026
18.0,18,11.345089
38.0,38,11.483947
13.0,13,11.527426
14.0,14,11.575868
14.0,14,11.624488
34.0,34,11.739978
11.0,11,11.774579
23.0,23,11.857931
32.0,32,11.959905
29.0,29,12.053339
28.0,28,12.151328
12.0,12,12.196125
35.0,35,12.319942
20.0,20,12.38868
27.0,27,12.471243
11.0,11,12.506615
23.0,23,12.584231
33.0,33,12.698149
11.0,11,12.734672
18.0,18,12.790354
17.0,17,12.851329
