#{"t_start": 1573851839.0237145, "env_id": "CartPole-v0"}
r,l,t
11.0,11,7.851494
24.0,24,7.898156
15.0,15,7.926879
22.0,22,7.970246
70.0,70,8.126392
63.0,63,8.249401
11.0,11,8.270371
38.0,38,8.344512
40.0,40,8.428236
12.0,12,8.452317
26.0,26,8.518491
26.0,26,8.569312
21.0,21,8.615842
20.0,20,8.659116
15.0,15,8.691625
13.0,13,8.719322
15.0,15,8.750736
33.0,33,8.820674
45.0,45,8.91734
22.0,22,8.963327
21.0,21,9.011917
21.0,21,9.054909
37.0,37,9.134699
41.0,41,9.226508
33.0,33,9.298303
30.0,30,9.356182
15.0,15,9.387748
30.0,30,9.452355
32.0,32,9.516176
30.0,30,9.576655
22.0,22,9.624737
29.0,29,9.686464
52.0,52,9.79969
13.0,13,9.829102
51.0,51,9.937598
49.0,49,10.514084
40.0,40,10.857842
59.0,59,11.371277
12.0,12,11.478161
18.0,18,11.640939
12.0,12,11.741951
33.0,33,12.02575
50.0,50,12.463329
17.0,17,12.617106
15.0,15,12.753675
68.0,68,13.341696
30.0,30,13.58788
27.0,27,13.828113
53.0,53,14.292972
23.0,23,14.502099
10.0,10,14.595338
38.0,38,14.939854
13.0,13,15.048206
28.0,28,15.280636
12.0,12,15.373736
13.0,13,15.488824
25.0,25,15.708927
56.0,56,16.185316
12.0,12,16.291572
31.0,31,16.568316
34.0,34,16.857324
25.0,25,17.083931
11.0,11,17.179493
40.0,40,17.527391
44.0,44,17.923541
23.0,23,18.112308
17.0,17,18.256567
76.0,76,18.961968
76.0,76,19.655067
30.0,30,19.915568
37.0,37,20.236364
12.0,12,20.341813
70.0,70,20.961474
20.0,20,21.146699
33.0,33,21.440431
15.0,15,21.566446
55.0,55,22.070418
88.0,88,22.840914
25.0,25,23.070647
64.0,64,23.637322
25.0,25,23.856174
17.0,17,24.011408
26.0,26,24.249157
43.0,43,24.628583
19.0,19,24.797427
26.0,26,25.021478
21.0,21,25.200257
22.0,22,25.397638
69.0,69,26.025912
9.0,9,26.104604
173.0,173,27.623345
122.0,122,28.685816
90.0,90,29.478292
98.0,98,30.344126
80.0,80,31.036595
100.0,100,31.920123
55.0,55,32.413374
135.0,135,33.614195
128.0,128,34.727268
132.0,132,35.890714
119.0,119,36.912304
150.0,150,38.21844
91.0,91,39.013571
104.0,104,39.948232
155.0,155,41.325612
155.0,155,42.695308
170.0,170,44.188375
134.0,134,45.37244
153.0,153,46.704552
164.0,164,48.124581
162.0,162,49.57625
124.0,124,50.668405
124.0,124,51.762396
113.0,113,52.754308
65.0,65,53.33156
91.0,91,54.138769
100.0,100,55.018714
97.0,97,55.890964
105.0,105,56.79848
104.0,104,57.724301
114.0,114,58.733868
116.0,116,59.769602
129.0,129,60.92033
119.0,119,61.961673
104.0,104,62.881822
113.0,113,63.872099
160.0,160,65.301107
138.0,138,66.530199
131.0,131,67.672895
146.0,146,68.960719
134.0,134,70.159013
135.0,135,71.335522
129.0,129,72.492487
195.0,195,74.235308
200.0,200,76.016715
200.0,200,77.785883
151.0,151,79.152663
134.0,134,80.289688
144.0,144,81.559655
154.0,154,82.956478
139.0,139,84.175437
138.0,138,85.391818
165.0,165,86.859795
139.0,139,88.091193
158.0,158,89.489133
200.0,200,91.254626
135.0,135,92.460318
125.0,125,93.585829
145.0,145,94.851873
149.0,149,96.185112
198.0,198,97.951521
148.0,148,99.265155
139.0,139,100.515142
135.0,135,101.72462
131.0,131,102.841387
142.0,142,104.067109
25.0,25,104.298184
121.0,121,105.359877
116.0,116,106.375323
113.0,113,107.337757
111.0,111,108.313075
125.0,125,109.422925
100.0,100,110.307816
111.0,111,111.293259
112.0,112,112.269109
101.0,101,113.184428
98.0,98,114.055832
107.0,107,114.983695
103.0,103,115.880327
100.0,100,116.776076
105.0,105,117.698729
109.0,109,118.677901
113.0,113,119.677659
104.0,104,120.599641
106.0,106,121.553503
109.0,109,122.491826
117.0,117,123.556283
114.0,114,124.563391
108.0,108,125.519444
110.0,110,126.497349
118.0,118,127.530833
122.0,122,128.620533
114.0,114,129.6175
129.0,129,130.776005
127.0,127,131.912328
147.0,147,133.201443
128.0,128,134.335855
134.0,134,135.500886
143.0,143,136.766448
138.0,138,137.978165
129.0,129,139.153611
129.0,129,140.27225
129.0,129,141.3991
116.0,116,142.42904
116.0,116,143.456196
108.0,108,144.420494
100.0,100,145.303623
117.0,117,146.344485
125.0,125,147.472729
109.0,109,148.428493
104.0,104,149.365881
104.0,104,150.289233
95.0,95,151.117854
98.0,98,151.969069
112.0,112,152.951466
114.0,114,153.944958
121.0,121,155.00297
126.0,126,156.108865
138.0,138,157.288931
97.0,97,158.138661
163.0,163,159.556246
138.0,138,160.744096
115.0,115,161.754042
121.0,121,162.854331
141.0,141,164.09829
141.0,141,165.340222
153.0,153,166.670129
107.0,107,167.613315
126.0,126,168.720497
138.0,138,169.922792
96.0,96,170.775445
152.0,152,172.150207
126.0,126,173.26989
130.0,130,174.392358
117.0,117,175.442292
45.0,45,175.859561
155.0,155,177.24225
150.0,150,178.581941
123.0,123,179.690337
131.0,131,180.833942
152.0,152,182.150427
109.0,109,183.129187
116.0,116,184.156388
112.0,112,185.171742
108.0,108,186.126809
115.0,115,187.135782
115.0,115,188.153443
137.0,137,189.37866
126.0,126,190.487554
111.0,111,191.476402
107.0,107,192.41445
112.0,112,193.387589
107.0,107,194.34077
106.0,106,195.285806
121.0,121,196.373593
107.0,107,197.330382
139.0,139,198.556694
112.0,112,199.543788
119.0,119,200.564405
144.0,144,201.846147
110.0,110,202.82897
109.0,109,203.791056
118.0,118,204.84515
115.0,115,205.862201
103.0,103,206.769426
136.0,136,207.961725
137.0,137,209.197417
123.0,123,210.310769
102.0,102,211.195144
124.0,124,212.290632
115.0,115,213.319022
105.0,105,214.260807
95.0,95,215.113065
93.0,93,215.934163
94.0,94,216.752129
106.0,106,217.674258
127.0,127,218.79564
108.0,108,219.745087
16.0,16,219.887483
105.0,105,220.832415
95.0,95,221.683955
105.0,105,222.602334
20.0,20,222.777825
19.0,19,222.94246
101.0,101,223.795828
116.0,116,224.843496
96.0,96,225.683656
104.0,104,226.602728
16.0,16,226.743791
112.0,112,227.730319
116.0,116,228.771192
118.0,118,229.82994
114.0,114,230.813887
99.0,99,231.692518
98.0,98,232.581351
100.0,100,233.482186
109.0,109,234.470642
104.0,104,235.402759
96.0,96,236.256296
99.0,99,237.153602
15.0,15,237.279483
95.0,95,238.111638
93.0,93,238.960399
28.0,28,239.205459
23.0,23,239.412058
17.0,17,239.560226
97.0,97,240.394526
