#{"t_start": 1573853310.7809234, "env_id": "CartPole-v0"}
r,l,t
17.0,17,2.275791
32.0,32,2.370689
16.0,16,2.425242
29.0,29,2.524742
24.0,24,2.615224
26.0,26,2.703464
29.0,29,2.800066
27.0,27,2.891469
15.0,15,2.946584
19.0,19,3.014236
23.0,23,3.087605
12.0,12,3.121335
15.0,15,3.173354
15.0,15,3.222105
21.0,21,3.290975
10.0,10,3.320669
14.0,14,3.371276
51.0,51,3.544423
12.0,12,3.588331
28.0,28,3.678642
13.0,13,3.725642
32.0,32,3.831713
32.0,32,3.944585
41.0,41,4.081819
25.0,25,4.172387
17.0,17,4.230879
41.0,41,4.376586
14.0,14,4.418408
10.0,10,4.45382
8.0,8,4.480313
25.0,25,4.574181
36.0,36,4.705747
34.0,34,4.826367
35.0,35,4.951445
17.0,17,5.006958
18.0,18,5.070996
70.0,70,5.299352
17.0,17,5.352278
13.0,13,5.396861
10.0,10,5.428396
25.0,25,5.521023
41.0,41,5.656115
15.0,15,5.706085
19.0,19,5.770396
19.0,19,5.835163
13.0,13,5.876698
36.0,36,6.007521
37.0,37,6.133323
16.0,16,6.189047
27.0,27,6.284541
42.0,42,6.424657
18.0,18,6.488023
27.0,27,6.579051
31.0,31,6.688229
27.0,27,6.784283
23.0,23,6.861713
12.0,12,6.90333
13.0,13,6.946429
11.0,11,6.980292
15.0,15,7.029852
19.0,19,7.094841
19.0,19,7.153103
21.0,21,7.22086
13.0,13,7.274815
56.0,56,7.453532
29.0,29,7.553744
33.0,33,7.664698
19.0,19,7.730209
17.0,17,7.788362
36.0,36,7.916518
17.0,17,7.975913
12.0,12,8.017948
12.0,12,8.053666
26.0,26,8.138274
37.0,37,8.262136
16.0,16,8.316221
18.0,18,8.372649
21.0,21,8.448627
41.0,41,8.581209
19.0,19,8.648288
21.0,21,8.72283
20.0,20,8.798445
16.0,16,8.853097
16.0,16,8.908168
24.0,24,8.989975
30.0,30,9.084303
21.0,21,9.149505
19.0,19,9.209453
21.0,21,9.278868
18.0,18,9.34211
42.0,42,9.489803
12.0,12,9.528913
13.0,13,9.568659
26.0,26,9.649724
17.0,17,9.714737
22.0,22,9.782136
22.0,22,9.85855
20.0,20,9.925084
10.0,10,9.961842
15.0,15,10.012594
20.0,20,10.076621
19.0,19,10.134893
23.0,23,10.220747
14.0,14,10.26886
32.0,32,10.370799
15.0,15,10.429255
19.0,19,10.495191
27.0,27,10.583589
30.0,30,10.68192
20.0,20,10.749914
12.0,12,10.794706
14.0,14,10.852591
11.0,11,10.887243
16.0,16,10.936396
72.0,72,11.180553
12.0,12,11.225643
18.0,18,11.281425
42.0,42,11.425906
13.0,13,11.470044
21.0,21,11.545429
12.0,12,11.581663
31.0,31,11.681073
24.0,24,11.764163
17.0,17,11.817151
22.0,22,11.89931
23.0,23,11.974012
18.0,18,12.033412
19.0,19,12.096029
29.0,29,12.193623
28.0,28,12.282304
35.0,35,12.401729
32.0,32,12.518317
20.0,20,12.586811
16.0,16,12.637793
24.0,24,12.723534
13.0,13,12.765831
22.0,22,12.844059
21.0,21,12.914008
29.0,29,13.019816
17.0,17,13.076043
107.0,107,13.437887
16.0,16,13.497215
70.0,70,13.741566
33.0,33,13.846173
16.0,16,13.901156
41.0,41,14.04753
22.0,22,14.117544
28.0,28,14.219635
15.0,15,14.269784
17.0,17,14.326839
16.0,16,14.378443
22.0,22,14.45567
17.0,17,14.506237
15.0,15,14.556952
16.0,16,14.612542
31.0,31,14.709805
47.0,47,14.861285
16.0,16,14.915619
9.0,9,14.949601
18.0,18,15.009149
25.0,25,15.096528
13.0,13,15.145407
21.0,21,15.211099
20.0,20,15.271152
21.0,21,15.343313
42.0,42,15.489594
20.0,20,15.559498
26.0,26,15.653783
23.0,23,15.732981
15.0,15,15.781435
17.0,17,15.836196
17.0,17,15.893132
26.0,26,15.98637
12.0,12,16.026159
45.0,45,16.180636
18.0,18,16.248462
42.0,42,16.392039
14.0,14,16.439542
55.0,55,16.630069
22.0,22,16.704885
21.0,21,16.772071
17.0,17,16.836145
32.0,32,16.947816
32.0,32,17.065729
13.0,13,17.110868
37.0,37,17.243261
41.0,41,17.385734
60.0,60,17.597343
14.0,14,17.645007
29.0,29,17.74118
14.0,14,17.791978
21.0,21,17.855755
31.0,31,17.964529
24.0,24,18.039089
25.0,25,18.127887
27.0,27,18.226586
29.0,29,18.324342
12.0,12,18.363002
23.0,23,18.448185
37.0,37,18.570904
44.0,44,18.720266
14.0,14,18.76614
78.0,78,19.02761
11.0,11,19.068692
30.0,30,19.166717
23.0,23,19.242953
28.0,28,19.342704
25.0,25,19.428112
29.0,29,19.52276
16.0,16,19.581126
19.0,19,19.638985
43.0,43,19.788856
22.0,22,19.868831
20.0,20,19.936301
39.0,39,20.069757
35.0,35,20.184095
23.0,23,20.269583
18.0,18,20.322838
19.0,19,20.390088
81.0,81,20.667941
73.0,73,20.910762
19.0,19,20.977053
83.0,83,21.261348
22.0,22,21.341689
31.0,31,21.444328
13.0,13,21.492002
33.0,33,21.594453
12.0,12,21.642764
20.0,20,21.707873
31.0,31,21.809577
44.0,44,21.954969
26.0,26,22.043251
35.0,35,22.159756
37.0,37,22.273238
39.0,39,22.405515
31.0,31,22.509824
14.0,14,22.561175
16.0,16,22.610358
28.0,28,22.711665
28.0,28,22.812142
30.0,30,22.913321
44.0,44,23.06947
20.0,20,23.141381
18.0,18,23.206593
112.0,112,23.574452
100.0,100,23.91313
46.0,46,24.058224
28.0,28,24.156938
41.0,41,24.301989
107.0,107,24.667236
32.0,32,24.768339
26.0,26,24.854706
27.0,27,24.950738
60.0,60,25.156491
48.0,48,25.31685
48.0,48,25.483718
81.0,81,25.749871
48.0,48,25.922371
23.0,23,25.999441
30.0,30,26.10477
72.0,72,26.34696
17.0,17,26.401917
19.0,19,26.467842
13.0,13,26.508938
22.0,22,26.590552
34.0,34,26.70663
14.0,14,26.748039
100.0,100,27.079593
98.0,98,27.425155
20.0,20,27.490443
22.0,22,27.559412
17.0,17,27.617583
19.0,19,27.685918
35.0,35,27.805204
101.0,101,28.143967
30.0,30,28.244043
21.0,21,28.317569
14.0,14,28.370224
56.0,56,28.553474
21.0,21,28.619669
13.0,13,28.668269
68.0,68,28.901844
42.0,42,29.051394
64.0,64,29.277785
55.0,55,29.460185
89.0,89,29.760705
25.0,25,29.841996
14.0,14,29.891711
45.0,45,30.049689
57.0,57,30.250482
82.0,82,30.520745
