#{"t_start": 1573664162.5016398, "env_id": "CartPole-v0"}
r,l,t
111.0,111,105.302014
134.0,134,105.940079
125.0,125,106.531751
136.0,136,107.178594
144.0,144,107.845125
137.0,137,108.485897
151.0,151,109.190923
133.0,133,109.848209
193.0,193,110.77978
128.0,128,111.39006
135.0,135,112.020892
200.0,200,112.925418
147.0,147,113.635306
129.0,129,114.246196
200.0,200,115.172203
140.0,140,115.829927
170.0,170,116.62103
152.0,152,117.322762
121.0,121,117.874419
121.0,121,118.455362
121.0,121,118.994627
108.0,108,119.483321
15.0,15,119.557758
117.0,117,120.094591
13.0,13,120.158239
107.0,107,120.638114
14.0,14,120.708326
115.0,115,121.259214
16.0,16,121.329584
143.0,143,122.002182
134.0,134,122.623064
135.0,135,123.249787
126.0,126,123.852552
152.0,152,124.538656
184.0,184,125.39514
125.0,125,125.976771
129.0,129,126.558732
127.0,127,127.123656
13.0,13,127.18726
12.0,12,127.242198
13.0,13,127.295637
140.0,140,127.926216
118.0,118,128.480941
141.0,141,129.135528
149.0,149,129.868199
167.0,167,130.640961
164.0,164,131.411397
140.0,140,132.052009
165.0,165,132.836068
123.0,123,133.402975
155.0,155,134.102221
11.0,11,134.155202
14.0,14,134.216626
127.0,127,134.836542
119.0,119,135.402714
122.0,122,135.955559
11.0,11,136.007771
119.0,119,136.577223
144.0,144,137.237168
125.0,125,137.830649
133.0,133,138.432372
59.0,59,138.723608
200.0,200,139.627159
150.0,150,140.336889
176.0,176,141.169711
190.0,190,142.027672
175.0,175,142.857487
157.0,157,143.602538
185.0,185,144.435211
136.0,136,145.080219
156.0,156,145.802734
134.0,134,146.403971
184.0,184,147.271316
120.0,120,147.822847
130.0,130,148.439715
124.0,124,149.032619
123.0,123,149.649086
108.0,108,150.16721
127.0,127,150.79767
137.0,137,151.427246
128.0,128,152.062549
147.0,147,152.743377
153.0,153,153.442422
141.0,141,154.117184
132.0,132,154.746706
122.0,122,155.33506
141.0,141,155.983906
140.0,140,156.634474
173.0,173,157.500583
138.0,138,158.116856
144.0,144,158.838176
152.0,152,159.565732
134.0,134,160.195302
127.0,127,160.792567
128.0,128,161.38142
128.0,128,162.004821
165.0,165,162.778911
159.0,159,163.515925
111.0,111,164.069157
122.0,122,164.62831
138.0,138,165.285016
111.0,111,165.790934
106.0,106,166.302841
110.0,110,166.8264
108.0,108,167.347608
106.0,106,167.854428
108.0,108,168.363028
174.0,174,169.165925
144.0,144,169.843508
147.0,147,170.520959
101.0,101,170.995655
109.0,109,171.523924
119.0,119,172.054868
107.0,107,172.566283
120.0,120,173.124141
108.0,108,173.663962
121.0,121,174.220736
98.0,98,174.668785
108.0,108,175.156228
105.0,105,175.656533
25.0,25,175.7796
117.0,117,176.3207
112.0,112,176.828392
102.0,102,177.311839
96.0,96,177.766531
104.0,104,178.243386
106.0,106,178.739402
115.0,115,179.278649
108.0,108,179.78061
115.0,115,180.321879
108.0,108,180.843373
110.0,110,181.333287
121.0,121,181.888819
113.0,113,182.421672
109.0,109,182.928947
109.0,109,183.43493
105.0,105,183.935505
109.0,109,184.408806
97.0,97,184.870759
113.0,113,185.380658
103.0,103,185.852236
101.0,101,186.348934
112.0,112,186.902301
126.0,126,187.497107
111.0,111,188.02477
104.0,104,188.498267
111.0,111,189.006105
124.0,124,189.577221
134.0,134,190.188737
49.0,49,190.412598
130.0,130,191.034714
130.0,130,191.63707
132.0,132,192.282545
131.0,131,192.892756
138.0,138,193.54916
114.0,114,194.111591
200.0,200,195.047233
200.0,200,195.969784
200.0,200,196.922624
157.0,157,197.65534
175.0,175,198.496222
140.0,140,199.143199
166.0,166,199.948306
159.0,159,200.691127
139.0,139,201.338024
149.0,149,202.04881
