#{"t_start": 1573853493.3689213, "env_id": "CartPole-v0"}
r,l,t
21.0,21,2.306978
12.0,12,2.343292
25.0,25,2.430371
44.0,44,2.58107
28.0,28,2.684039
62.0,62,2.891936
29.0,29,2.993966
32.0,32,3.097793
20.0,20,3.174946
22.0,22,3.248186
15.0,15,3.299692
32.0,32,3.422859
9.0,9,3.449359
22.0,22,3.522798
14.0,14,3.572416
20.0,20,3.641911
40.0,40,3.775964
10.0,10,3.807611
48.0,48,3.965672
12.0,12,4.007379
10.0,10,4.040285
24.0,24,4.122308
12.0,12,4.161493
12.0,12,4.196273
18.0,18,4.254545
26.0,26,4.344899
15.0,15,4.397019
24.0,24,4.482074
20.0,20,4.547247
92.0,92,4.868607
34.0,34,4.983579
13.0,13,5.038602
57.0,57,5.231327
15.0,15,5.283581
51.0,51,5.461301
17.0,17,5.526989
24.0,24,5.613868
20.0,20,5.679745
16.0,16,5.729683
15.0,15,5.782972
21.0,21,5.85952
26.0,26,5.952679
56.0,56,6.147862
14.0,14,6.196813
30.0,30,6.296541
9.0,9,6.329741
23.0,23,6.412495
15.0,15,6.463773
17.0,17,6.520827
17.0,17,6.582936
24.0,24,6.671682
15.0,15,6.722404
10.0,10,6.756398
16.0,16,6.812284
16.0,16,6.863024
19.0,19,6.915673
11.0,11,6.953377
24.0,24,7.033353
15.0,15,7.081022
23.0,23,7.166725
27.0,27,7.256132
19.0,19,7.3234
12.0,12,7.364215
26.0,26,7.453787
21.0,21,7.517979
32.0,32,7.620567
17.0,17,7.682556
43.0,43,7.834056
23.0,23,7.917731
22.0,22,7.995562
35.0,35,8.118234
16.0,16,8.18213
13.0,13,8.224451
18.0,18,8.292616
35.0,35,8.414273
12.0,12,8.455283
12.0,12,8.50118
24.0,24,8.579028
15.0,15,8.630723
20.0,20,8.692391
28.0,28,8.795961
10.0,10,8.831898
11.0,11,8.864539
16.0,16,8.918166
14.0,14,8.967984
22.0,22,9.045748
13.0,13,9.089437
14.0,14,9.145381
12.0,12,9.186053
23.0,23,9.269369
10.0,10,9.300515
26.0,26,9.393315
11.0,11,9.432205
18.0,18,9.492471
13.0,13,9.543879
16.0,16,9.598786
23.0,23,9.670862
25.0,25,9.758827
42.0,42,9.90169
12.0,12,9.937668
33.0,33,10.053396
18.0,18,10.112983
13.0,13,10.162265
15.0,15,10.211899
22.0,22,10.28523
26.0,26,10.382175
14.0,14,10.427222
24.0,24,10.51312
14.0,14,10.565806
14.0,14,10.61553
36.0,36,10.738655
38.0,38,10.876049
61.0,61,11.084133
18.0,18,11.138805
14.0,14,11.189832
20.0,20,11.254657
17.0,17,11.318693
15.0,15,11.368863
16.0,16,11.425954
58.0,58,11.630297
16.0,16,11.690677
20.0,20,11.764442
14.0,14,11.80413
16.0,16,11.860585
18.0,18,11.915081
15.0,15,11.968593
27.0,27,12.061093
27.0,27,12.149259
18.0,18,12.21083
26.0,26,12.295621
19.0,19,12.363042
15.0,15,12.419814
27.0,27,12.514936
30.0,30,12.626248
27.0,27,12.716774
33.0,33,12.844438
35.0,35,12.958866
18.0,18,13.023772
36.0,36,13.15328
23.0,23,13.228179
14.0,14,13.276062
26.0,26,13.362272
28.0,28,13.46618
14.0,14,13.515274
10.0,10,13.548058
15.0,15,13.599065
11.0,11,13.631912
19.0,19,13.698896
72.0,72,13.944126
46.0,46,14.103578
11.0,11,14.144862
41.0,41,14.28243
27.0,27,14.368424
20.0,20,14.441302
23.0,23,14.521704
21.0,21,14.591928
12.0,12,14.632439
21.0,21,14.710006
45.0,45,14.861146
14.0,14,14.909826
38.0,38,15.043376
36.0,36,15.172648
56.0,56,15.367897
29.0,29,15.470487
38.0,38,15.600771
84.0,84,15.897077
24.0,24,15.972568
15.0,15,16.019068
42.0,42,16.171715
12.0,12,16.206802
22.0,22,16.287661
22.0,22,16.36664
34.0,34,16.484549
35.0,35,16.603832
28.0,28,16.689187
81.0,81,16.972621
43.0,43,17.121053
43.0,43,17.269458
20.0,20,17.337098
27.0,27,17.427912
32.0,32,17.540037
25.0,25,17.630532
46.0,46,17.78144
64.0,64,17.993487
41.0,41,18.130178
15.0,15,18.179488
19.0,19,18.245863
13.0,13,18.286327
26.0,26,18.383953
71.0,71,18.637705
25.0,25,18.730901
16.0,16,18.781075
17.0,17,18.837523
43.0,43,18.992787
22.0,22,19.061754
18.0,18,19.126774
35.0,35,19.24425
31.0,31,19.351503
130.0,130,19.788939
30.0,30,19.89014
18.0,18,19.956773
38.0,38,20.078026
17.0,17,20.139359
35.0,35,20.264445
36.0,36,20.388431
32.0,32,20.49808
60.0,60,20.702877
44.0,44,20.852583
25.0,25,20.941989
43.0,43,21.08858
18.0,18,21.142493
54.0,54,21.337854
22.0,22,21.41174
31.0,31,21.517719
16.0,16,21.575319
31.0,31,21.680085
93.0,93,22.000462
38.0,38,22.125307
25.0,25,22.213722
13.0,13,22.257543
27.0,27,22.355974
54.0,54,22.543731
14.0,14,22.591638
41.0,41,22.73198
100.0,100,23.081804
52.0,52,23.260576
27.0,27,23.353707
39.0,39,23.488894
76.0,76,23.746265
22.0,22,23.818021
27.0,27,23.912184
46.0,46,24.068362
18.0,18,24.124498
51.0,51,24.310379
48.0,48,24.478901
27.0,27,24.57292
38.0,38,24.695795
132.0,132,25.168553
32.0,32,25.273919
36.0,36,25.40422
37.0,37,25.526905
40.0,40,25.668132
40.0,40,25.81734
88.0,88,26.115687
60.0,60,26.317623
34.0,34,26.432983
44.0,44,26.585976
37.0,37,26.7118
26.0,26,26.804366
70.0,70,27.059424
83.0,83,27.356359
67.0,67,27.578063
42.0,42,27.727979
87.0,87,28.028872
30.0,30,28.133764
95.0,95,28.454206
69.0,69,28.696345
52.0,52,28.878443
123.0,123,29.30737
44.0,44,29.462173
42.0,42,29.602858
144.0,144,30.103551
69.0,69,30.342786
51.0,51,30.523679
49.0,49,30.693532
31.0,31,30.799933
26.0,26,30.891801
46.0,46,31.044747
38.0,38,31.180965
44.0,44,31.330999
47.0,47,31.496375
68.0,68,31.738015
25.0,25,31.821428
53.0,53,31.996299
47.0,47,32.151608
86.0,86,32.442238
32.0,32,32.546585
22.0,22,32.624892
43.0,43,32.773893
42.0,42,32.925375
30.0,30,33.032613
44.0,44,33.189574
73.0,73,33.439708
88.0,88,33.737811
99.0,99,34.087342
144.0,144,34.577463
44.0,44,34.729438
97.0,97,35.067708
97.0,97,35.397668
31.0,31,35.497938
117.0,117,35.89664
95.0,95,36.229131
183.0,183,36.855011
39.0,39,36.979737
135.0,135,37.440195
112.0,112,37.815482
67.0,67,38.053656
22.0,22,38.12168
62.0,62,38.342604
148.0,148,38.857739
35.0,35,38.982259
20.0,20,39.049858
106.0,106,39.432078
44.0,44,39.583756
29.0,29,39.687656
95.0,95,40.028764
142.0,142,40.514953
137.0,137,40.990538
31.0,31,41.096197
21.0,21,41.164622
56.0,56,41.35931
76.0,76,41.632283
97.0,97,41.971007
45.0,45,42.126339
136.0,136,42.597641
89.0,89,42.903023
79.0,79,43.16172
81.0,81,43.434597
91.0,91,43.748738
200.0,200,44.43247
65.0,65,44.658136
197.0,197,45.320591
200.0,200,46.00764
140.0,140,46.502241
99.0,99,46.83322
157.0,157,47.386953
72.0,72,47.624405
145.0,145,48.116055
120.0,120,48.540307
200.0,200,49.219532
200.0,200,49.902023
121.0,121,50.327126
135.0,135,50.799502
165.0,165,51.371329
146.0,146,51.884952
138.0,138,52.362051
166.0,166,52.941975
107.0,107,53.313757
49.0,49,53.478256
50.0,50,53.654692
126.0,126,54.085364
66.0,66,54.303573
132.0,132,54.767057
103.0,103,55.134713
168.0,168,55.702264
114.0,114,56.079337
131.0,131,56.551117
101.0,101,56.893645
113.0,113,57.27966
133.0,133,57.742974
105.0,105,58.103709
51.0,51,58.280923
85.0,85,58.587797
132.0,132,59.041225
200.0,200,59.744673
137.0,137,60.213447
200.0,200,60.896553
161.0,161,61.453345
200.0,200,62.151711
142.0,142,62.645879
69.0,69,62.876432
153.0,153,63.419671
179.0,179,64.034262
175.0,175,64.609986
72.0,72,64.865226
158.0,158,65.411521
75.0,75,65.671373
143.0,143,66.157763
183.0,183,66.798193
78.0,78,67.055961
161.0,161,67.599165
99.0,99,67.955127
200.0,200,68.642337
104.0,104,68.982085
200.0,200,69.682671
200.0,200,70.38747
73.0,73,70.642819
87.0,87,70.941614
185.0,185,71.582406
192.0,192,72.240351
136.0,136,72.700593
186.0,186,73.349051
167.0,167,73.921995
39.0,39,74.063705
17.0,17,74.118929
186.0,186,74.76777
89.0,89,75.082126
75.0,75,75.329283
152.0,152,75.867394
64.0,64,76.093256
117.0,117,76.491668
155.0,155,77.003558
51.0,51,77.190197
174.0,174,77.799285
70.0,70,78.043628
200.0,200,78.729389
153.0,153,79.258597
148.0,148,79.745663
182.0,182,80.360972
200.0,200,81.042598
108.0,108,81.412594
100.0,100,81.745191
48.0,48,81.905543
152.0,152,82.45007
125.0,125,82.869168
105.0,105,83.243317
127.0,127,83.65667
136.0,136,84.131988
200.0,200,84.817797
121.0,121,85.229131
119.0,119,85.630668
164.0,164,86.199312
175.0,175,86.804753
95.0,95,87.126366
16.0,16,87.181998
87.0,87,87.487242
111.0,111,87.879049
63.0,63,88.089957
159.0,159,88.642959
50.0,50,88.813576
146.0,146,89.299772
47.0,47,89.46792
65.0,65,89.701766
30.0,30,89.807302
60.0,60,90.016904
23.0,23,90.09172
45.0,45,90.25243
134.0,134,90.692845
200.0,200,91.375365
54.0,54,91.571811
59.0,59,91.779686
123.0,123,92.192247
156.0,156,92.7294
112.0,112,93.110878
86.0,86,93.416912
85.0,85,93.715981
189.0,189,94.3643
200.0,200,95.053308
128.0,128,95.490535
